line,name,lat,lng
A,Nemocnice Motol,50.0751749,14.3408446
A,Petřiny,50.08705339999999,14.3448302
A,Nádraží Veleslavín,50.0953722,14.346919
A,Bořislavka,50.0985168,14.3640898
A,Dejvická,50.100471,14.393175
A,Hradčanská,50.0975109,14.4044797
A,Malostranská,50.0908574,14.4093484
A,Staroměstská,50.0885978,14.4162338
A,Můstek,50.0840837,14.4236643
A,Muzeum,50.07960840000001,14.4299756
A,Náměstí Míru,50.0751635,14.4377237
A,Jiřího z Poděbrad,50.07761,14.44916
A,Flora,50.0780114,14.4612584
A,Želivského,50.0783639,14.4742099
A,Strašnická,50.0727832,14.4912217
A,Skalka,50.06793889999999,14.5074391
A,Depo Hostivař,50.0750952,14.5161567
B,Zličín,50.0531551,14.2908882
B,Stodůlky,50.046688,14.3064449
B,Luka,50.045672,14.321341
B,Lužiny,50.04459869999999,14.3314254
B,Hůrka,50.050009,14.342792
B,Nové Butovice,50.050843,14.352149
B,Jinonice,50.0544652,14.3709745
B,Radlická,50.05800199999999,14.38887
B,Smíchovské nádraží,50.0617732,14.4094645
B,Anděl,50.071164,14.4040196
B,Karlovo náměstí,50.0755507,14.4192418
B,Národní třída,50.08153859999999,14.4199641
B,Můstek,50.0840837,14.4236643
B,Náměstí Republiky,50.088249,14.428735
B,Florenc,50.0903267,14.4391268
B,Křižíkova,50.0930646,14.4520442
B,Invalidovna,50.097133,14.4645244
B,Palmovka,50.1043856,14.4759645
B,Českomoravská,50.106552,14.4927291
B,Vysočanská,50.110493,14.5019061
B,Kolbenova,50.110363,14.5152719
B,Hloubětín,50.10669,14.53644
B,Rajská zahrada,50.10685549999999,14.5604985
B,Černý Most,50.10893,14.57678
C,Letňany,50.125317,14.516315
C,Prosek,50.1191788,14.4985027
C,Střížkov,50.1261829,14.4895416
C,Ládví,50.1264274,14.4693595
C,Kobylisy,50.124561,14.455757
C,Nádraží Holešovice,50.1084198,14.4407284
C,Vltavská,50.0993552,14.4385135
C,Florenc,50.0902743,14.4389963
C,Hlavní nádraží,50.083273,14.4347349
C,Muzeum,50.0806492,14.4315753
C,I. P. Pavlova,50.075344,14.429981
C,Vyšehrad,50.063101,14.430364
C,Pražského povstání,50.0566798,14.4342987
C,Pankrác,50.051028,14.439683
C,Budějovická,50.044411,14.448787
C,Kačerov,50.0421138,14.4624228
C,Roztyly,50.03767000000001,14.476739
C,Chodov,50.031624,14.49088
C,Opatov,50.02769869999999,14.5079813
C,Háje,50.03082999999999,14.52724
